Площадь;Купол;Скважина;Название залежи;Месяц;Год;Добыча нефти(т);Добыча жидкости(т);Добыча газа(тыс?м3);Процент воды весовой;Дебит нефти (т\сут);Дебит жидкости (т\сут);Газовый фактор (м3);Время работы (сут);Время работы(час);Время накопления (час);Время простоя (час);Добыча нефти с н?э?(т);Добыча жидкости с н?э?(т);Добыча газа с н?э?(м3);Время работы с н?э?(час);Способ эксплуатации
Маговская;Маговское;260;Бш-Срп;11;2020;828,9;840,7;335,114;1,4;28,58;28,99;404,29;29;696;0;0;828,9;840,7;335114;696;УЭЦН
Маговская;Маговское;260;Бш-Срп;12;2020;979,6;1000,7;693,129;2,11;31,6;32,28;707,56;31;744;0;0;1808,5;1841,4;1028243;1440;УЭЦН
Маговская;Маговское;260;Бш-Срп;1;2021;755,3;797;585,66;5,23;24,36;25,71;775,4;31;744;0;0;2563,8;2638,4;1613903;2184;УЭЦН
Маговская;Маговское;260;Бш-Срп;2;2021;1;1,1;0,792;9,09;24;26,4;792;0,04;1;0;671;2564,8;2639,5;1614695;2185;УЭЦН
Маговская;Маговское;260;Бш-Срп;3;2021;1;1,1;0,79;9,09;24;26,4;790;0,04;1;0;743;2565,8;2640,6;1615485;2186;УЭЦН
Маговская;Маговское;260;Бш-Срп;4;2021;1;1,1;0,767;9,09;24;26,4;767;0,04;1;0;719;2566,8;2641,7;1616252;2187;УЭЦН
Маговская;Маговское;260;Бш-Срп;5;2021;626,9;654,5;422,107;4,22;24,71;25,79;673,32;25,38;609;0;135;3193,7;3296,2;2038359;2796;УЭЦН
Маговская;Маговское;260;Бш-Срп;6;2021;699,2;723,8;217,536;3,4;23,94;24,78;311,12;29,21;701;0;19;3892,9;4020;2255895;3497;УЭЦН
Маговская;Маговское;261;Бш-Срп;1;2021;633,6;642,8;486,722;1,43;30,17;30,61;768,18;21;504;0;0;633,6;642,8;486722;504;УЭЦН
Маговская;Маговское;261;Бш-Срп;2;2021;824,2;858,2;624,681;3,96;29,44;30,65;757,92;28;672;0;0;1457,8;1501;1111403;1176;УЭЦН
Маговская;Маговское;261;Бш-Срп;3;2021;910,3;932,9;700,152;2,42;29,93;30,67;769,14;30,42;730;0;14;2368,1;2433,9;1811555;1906;УЭЦН
Маговская;Маговское;261;Бш-Срп;4;2021;887,9;920,5;662,912;3,54;29,6;30,68;746,61;30;720;0;0;3256;3354,4;2474467;2626;УЭЦН
Маговская;Маговское;261;Бш-Срп;5;2021;908,6;942;611,362;3,55;29,31;30,39;672,86;31;744;0;0;4164,6;4296,4;3085829;3370;УЭЦН
