Купол;Скважина;Ствол;Название залежи;Месяц;Год;Добыча нефти(т);Добыча воды(т);Добыча воды в пов․усл․(м3);Добыча жидкости(т);Добыча жидкости в пов․усл․(м3);Добыча жидкости в пл․усл․(м3);Добыча газа(тыс․м3);Процент воды весовой;Процент воды объемный;Дебит нефти (т\сут);Дебит жидкости (т\сут);Дебит жидкости (м3\сут);Удельный вес воды (г\см3);Газовый фактор (м3);Время работы (сут);Время работы(час);Время накопления (час);Время простоя(час);Добыча нефти с н․э․(т);Добыча воды с н․э․(т);Добыча жидкости с н․э․(т);Добыча жидкости с н․э․(м3);Доб․жидк․с н․э․ в пл․усл(м3);Добыча газа с н․э․(м3);Время работы с н․э․(час);Способ эксплуатации
Маговское;260;1;Бш-Срп;11;2020;828,9;11,8;10,4;840,7;1044;1640;335,114;1,4;1;28,58;28,99;36;1,135;404,29;29;696;0;0;828,9;11,8;840,7;1044;1640;335114;696;УЭЦН
Маговское;260;1;Бш-Срп;12;2020;979,6;21,1;18,6;1000,7;1240;1944,4;693,129;2,11;1,5;31,6;32,28;40;1,134;707,56;31;744;0;0;1808,5;32,9;1841,4;2284;3584,4;1028243;1440;УЭЦН
Маговское;260;1;Бш-Срп;1;2021;755,3;41,7;36,7;797;978,6;1521,7;585,66;5,23;3,75;24,36;25,71;31,57;1,136;775,4;31;744;0;0;2563,8;74,6;2638,4;3262,6;5106,1;1613903;2184;УЭЦН
Маговское;260;1;Бш-Срп;2;2021;1;0,1;0,1;1,1;1,4;2,1;0,792;9,09;7,14;24;26,4;33,6;1;792;0,04;1;0;671;2564,8;74,7;2639,5;3264;5108,2;1614695;2185;УЭЦН
Маговское;260;1;Бш-Срп;3;2021;1;0,1;0,1;1,1;1,4;2,1;0,79;9,09;7,14;24;26,4;33,6;1;790;0,04;1;0;743;2565,8;74,8;2640,6;3265,4;5110,3;1615485;2186;УЭЦН
Маговское;260;1;Бш-Срп;4;2021;1;0,1;0,1;1,1;1,4;2,1;0,767;9,09;7,14;24;26,4;33,6;1;767;0,04;1;0;719;2566,8;74,9;2641,7;3266,8;5112,4;1616252;2187;УЭЦН
Маговское;260;1;Бш-Срп;5;2021;626,9;27,6;24,3;654,5;806;1256,7;422,107;4,22;3,01;24,71;25,79;31,76;1,136;673,32;25,38;609;0;135;3193,7;102,5;3296,2;4072,8;6369,1;2038359;2796;УЭЦН
Маговское;260;1;Бш-Срп;6;2021;699,2;24,6;21,7;723,8;893,5;1396,3;217,536;3,4;2,43;23,94;24,78;30,59;1,134;311,12;29,21;701;0;19;3892,9;127,1;4020;4966,3;7765,4;2255895;3497;УЭЦН
Маговское;261;1;Бш-Срп;1;2021;633,6;9,2;8;642,8;798;1253,7;486,722;1,43;1;30,17;30,61;38;1,15;768,18;21;504;0;0;633,6;9,2;642,8;798;1253,7;486722;504;УЭЦН
Маговское;261;1;Бш-Срп;2;2021;824,2;34;29,6;858,2;1057,3;1650;624,681;3,96;2,8;29,44;30,65;37,76;1,149;757,92;28;672;0;0;1457,8;43,2;1501;1855,3;2903,7;1111403;1176;УЭЦН
Маговское;261;1;Бш-Срп;3;2021;910,3;22,6;19,6;932,9;1154,6;1809,3;700,152;2,42;1,7;29,93;30,67;37,96;1,153;769,14;30,42;730;0;14;2368,1;65,8;2433,9;3009,9;4713;1811555;1906;УЭЦН
Маговское;261;1;Бш-Срп;4;2021;887,9;32,6;28,4;920,5;1135,5;1774,1;662,912;3,54;2,5;29,6;30,68;37,85;1,148;746,61;30;720;0;0;3256;98,4;3354,4;4145,4;6487,1;2474467;2626;УЭЦН
Маговское;261;1;Бш-Срп;5;2021;908,6;33,4;29,1;942;1162,1;1815,5;611,362;3,55;2,5;29,31;30,39;37,49;1,148;672,86;31;744;0;0;4164,6;131,8;4296,4;5307,5;8302,6;3085829;3370;УЭЦН
Маговское;261;1;Бш-Срп;6;2021;867,2;16,4;14,2;883,6;1095,4;1719;267,95;1,86;1,3;29,69;30,25;37,5;1,155;308,98;29,21;701;0;19;5031,8;148,2;5180;6402,9;10021,6;3353779;4071;УЭЦН
Раевское;250;1;Бш-Срп;11;2018;41,1;5,8;5;46,9;55,1;55,1;4,028;12,37;9,07;41,1;46,9;55,1;1,16;98;1;24;0;0;41,1;5,8;46,9;55,1;55,1;4028;24;УЭЦН
Раевское;250;1;Бш-Срп;12;2018;2099,7;149,6;127,8;2249,3;2682,1;2682,1;244,65;6,65;4,76;68,94;73,85;88,06;1,171;116,52;30,46;731;0;13;2140,8;155,4;2296,2;2737,2;2737,2;248678;755;УЭЦН
Раевское;250;1;Бш-Срп;1;2019;1602,5;52,4;45,1;1654,9;2043,4;2043,4;247,288;3,17;2,21;51,69;53,38;65,92;1,162;154,31;31;744;0;0;3743,3;207,8;3951,1;4780,6;4780,6;495966;1499;УЭЦН
Раевское;250;1;Бш-Срп;2;2019;1194,6;41;34,8;1235,6;1524,4;1524,4;181,066;3,32;2,28;42,79;44,26;54,61;1,178;151,57;27,92;670;0;2;4937,9;248,8;5186,7;6305;6305;677032;2169;УЭЦН
Раевское;250;1;Бш-Срп;3;2019;1401,5;80;68,7;1481,5;1816,3;1816,3;207,572;5,4;3,78;45,21;47,79;58,59;1,164;148,11;31;744;0;0;6339,4;328,8;6668,2;8121,3;8121,3;884604;2913;УЭЦН
Раевское;250;1;Бш-Срп;4;2019;1443,9;80,8;69,3;1524,7;1869,4;1869,4;167,166;5,3;3,71;48,13;50,82;62,31;1,166;115,77;30;720;0;0;7783,3;409,6;8192,9;9990,7;9990,7;1051770;3633;УЭЦН
Раевское;250;1;Бш-Срп;5;2019;1447,1;64,4;55;1511,5;1859,2;1859,2;217,473;4,26;2,96;47,19;49,29;60,63;1,171;150,28;30,67;736;0;8;9230,4;474;9704,4;11849,9;11849,9;1269243;4369;УЭЦН
Раевское;250;1;Бш-Срп;6;2019;1368,4;34,9;29,8;1403,3;1735,9;1735,9;221,666;2,49;1,72;45,87;47,04;58,19;1,171;161,99;29,83;716;0;4;10598,8;508,9;11107,7;13585,8;13585,8;1490909;5085;УЭЦН
Раевское;250;1;Бш-Срп;7;2019;1428;35,1;29,9;1463,1;1810,2;1810,2;221,734;2,4;1,65;46,31;47,45;58,71;1,174;155,28;30,83;740;0;4;12026,8;544;12570,8;15396;15396;1712643;5825;УЭЦН
Раевское;250;1;Бш-Срп;8;2019;1358,3;42,5;36,2;1400,8;1729,9;1729,9;245,486;3,03;2,09;43,82;45,19;55,8;1,174;180,73;31;744;0;0;13385,1;586,5;13971,6;17125,9;17125,9;1958129;6569;УЭЦН
Раевское;250;1;Бш-Срп;9;2019;800,6;19,1;16,4;819,7;1014,3;1014,3;305,312;2,33;1,62;26,99;27,63;34,19;1,165;381,35;29,67;712;0;8;14185,7;605,6;14791,3;18140,2;18140,2;2263441;7281;УЭЦН
Раевское;250;1;Бш-Срп;10;2019;960,8;41,6;35,5;1002,4;1233,3;1924,7;161,778;4,15;2,88;36,89;38,49;47,36;1,172;168,38;26,04;625;0;119;15146,5;647,2;15793,7;19373,5;20064,9;2425219;7906;УЭЦН
Раевское;250;1;Бш-Срп;11;2019;1107,2;26,7;22,8;1133,9;1403,2;2199,8;187,071;2,35;1,62;41,85;42,86;53,03;1,171;168,96;26,46;635;0;85;16253,7;673,9;16927,6;20776,7;22264,7;2612290;8541;УЭЦН
Раевское;250;1;Бш-Срп;12;2019;1303,2;26,4;22,6;1329,6;1647,7;2584,8;231,212;1,99;1,37;43,99;44,88;55,62;1,168;177,42;29,63;711;0;33;17556,9;700,3;18257,2;22424,4;24849,5;2843502;9252;УЭЦН
Раевское;250;1;Бш-Срп;1;2020;1442;50,7;43,3;1492,7;1841,7;2878,1;769,366;3,4;2,35;46,89;48,54;59,89;1,171;533,54;30,75;738;0;6;18998,9;751;19749,9;24266,1;27727,6;3612868;9990;УЭЦН
Раевское;250;1;Бш-Срп;2;2020;1234,1;20,3;17,3;1254,4;1556,4;2443,9;1092,398;1,62;1,11;43,18;43,89;54,45;1,173;885,18;28,58;686;0;10;20233;771,3;21004,3;25822,5;30171,5;4705266;10676;УЭЦН
