скважина;ствол;название_залежи;месяц;год;закачка_воды_технологическая_м3;приемистость_тех__расчетная;закачка_технологическая_с_начала_эксплуатации_м3;время_работы_с_начала_эксплуатации_сут
902;1;Тульский пласт Тл2б;6;1983;100;100;100;1
902;1;Тульский пласт Тл2б;7;1983;100;100;200;2
902;1;Тульский пласт Тл2б;8;1983;0;0;200;2
902;1;Тульский пласт Тл2б;9;1983;0;0;200;2
902;1;Тульский пласт Тл2б;10;1983;0;0;200;2
902;1;Тульский пласт Тл2б;11;1983;0;0;200;2
902;1;Тульский пласт Тл2б;12;1983;0;0;200;2
902;1;Тульский пласт Тл2б;1;1984;0;0;200;2
902;1;Тульский пласт Тл2б;2;1984;0;0;200;2
902;1;Тульский пласт Тл2б;3;1984;0;0;200;2
902;1;Тульский пласт Тл2б;4;1984;0;0;200;2
902;1;Тульский пласт Тл2б;5;1984;0;0;200;2
902;1;Тульский пласт Тл2б;6;1984;0;0;200;2
902;1;Тульский пласт Тл2б;7;1984;0;0;200;2
902;1;Тульский пласт Тл2б;8;1984;0;0;200;2
902;1;Тульский пласт Тл2б;9;1984;0;0;200;2
902;1;Тульский пласт Тл2б;10;1984;0;0;200;2
902;1;Тульский пласт Тл2б;11;1984;0;0;200;2
902;1;Тульский пласт Тл2б;12;1984;0;0;200;2
902;1;Тульский пласт Тл2б;1;1985;0;0;200;2
902;1;Тульский пласт Тл2б;2;1985;0;0;200;2
902;1;Тульский пласт Тл2б;3;1985;0;0;200;2
902;1;Тульский пласт Тл2б;4;1985;0;0;200;2
902;1;Тульский пласт Тл2б;5;1985;0;0;200;2
902;1;Тульский пласт Тл2б;6;1985;0;0;200;2
902;1;Тульский пласт Тл2б;7;1985;0;0;200;2
902;1;Тульский пласт Тл2б;8;1985;0;0;200;2
902;1;Тульский пласт Тл2б;9;1985;0;0;200;2
902;1;Тульский пласт Тл2б;10;1985;0;0;200;2
902;1;Тульский пласт Тл2б;11;1985;0;0;200;2
902;1;Тульский пласт Тл2б;12;1985;0;0;200;2
937;1;Тульский пласт Тл2а;7;1986;200;11;200;19
937;1;Тульский пласт Тл2а;8;1986;363;12;563;50
937;1;Тульский пласт Тл2а;9;1986;303;10;866;80
937;1;Тульский пласт Тл2а;10;1986;542;17;1408;111
937;1;Тульский пласт Тл2а;11;1986;779;26;2187;141
937;1;Тульский пласт Тл2а;12;1986;876;28;3063;172
910;1;Тульский пласт Тл2а;9;1986;8;4;8;2
910;1;Тульский пласт Тл2а;10;1986;186;6;194;33
910;1;Тульский пласт Тл2а;11;1986;103;3;297;63
910;1;Тульский пласт Тл2а;12;1986;116;4;413;94
927;1;Тульский пласт Тл2а;8;1986;702;234;702;3
927;1;Тульский пласт Тл2а;9;1986;6052;202;6754;33
927;1;Тульский пласт Тл2а;10;1986;4643;150;11397;64
927;1;Тульский пласт Тл2а;11;1986;2938;98;14335;94
927;1;Тульский пласт Тл2а;12;1986;198;6;14533;125
937;1;Тульский пласт Тл2б;7;1986;320;17;320;19
937;1;Тульский пласт Тл2б;8;1986;581;19;901;50
937;1;Тульский пласт Тл2б;9;1986;484;16;1385;80
937;1;Тульский пласт Тл2б;10;1986;867;28;2252;111
937;1;Тульский пласт Тл2б;11;1986;1246;42;3498;141
937;1;Тульский пласт Тл2б;12;1986;1401;45;4899;172
910;1;Тульский пласт Тл2б;9;1986;10;5;10;2
910;1;Тульский пласт Тл2б;10;1986;223;7;233;33
910;1;Тульский пласт Тл2б;11;1986;123;4;356;63
910;1;Тульский пласт Тл2б;12;1986;139;4;495;94
927;1;Тульский пласт Тл2б;12;1986;264;9;264;31
902;1;Тульский пласт Тл2б;1;1986;0;0;200;2
902;1;Тульский пласт Тл2б;2;1986;0;0;200;2
902;1;Тульский пласт Тл2б;3;1986;0;0;200;2
902;1;Тульский пласт Тл2б;4;1986;0;0;200;2
902;1;Тульский пласт Тл2б;5;1986;0;0;200;2
902;1;Тульский пласт Тл2б;6;1986;0;0;200;2
902;1;Тульский пласт Тл2б;7;1986;0;0;200;2
902;1;Тульский пласт Тл2б;8;1986;0;0;200;2
902;1;Тульский пласт Тл2б;9;1986;0;0;200;2
902;1;Тульский пласт Тл2б;10;1986;0;0;200;2
902;1;Тульский пласт Тл2б;11;1986;0;0;200;2
902;1;Тульский пласт Тл2б;12;1986;0;0;200;2
935;1;Бобриковский горизонт;7;1986;4000;211;4000;19
935;1;Бобриковский горизонт;8;1986;7263;234;11263;50
935;1;Бобриковский горизонт;9;1986;6052;202;17315;80
935;1;Бобриковский горизонт;10;1986;9287;300;26602;111
935;1;Бобриковский горизонт;11;1986;7345;245;33947;141
935;1;Бобриковский горизонт;12;1986;8260;266;42207;172
937;1;Бобриковский горизонт;7;1986;3480;183;3480;19
937;1;Бобриковский горизонт;8;1986;6321;204;9801;50
937;1;Бобриковский горизонт;9;1986;5268;176;15069;80
937;1;Бобриковский горизонт;10;1986;9429;304;24498;111
937;1;Бобриковский горизонт;11;1986;13549;452;38047;141
937;1;Бобриковский горизонт;12;1986;15237;492;53284;172
910;1;Бобриковский горизонт;9;1986;143;72;143;2
910;1;Бобриковский горизонт;10;1986;3305;107;3448;33
910;1;Бобриковский горизонт;11;1986;1830;61;5278;63
910;1;Бобриковский горизонт;12;1986;2057;66;7335;94
927;1;Бобриковский горизонт;12;1986;2842;92;2842;31
779;1;Турнейский пласт Т1;8;1986;140;47;140;3
779;1;Турнейский пласт Т1;9;1986;1210;40;1350;33
779;1;Турнейский пласт Т1;10;1986;928;30;2278;64
779;1;Турнейский пласт Т1;11;1986;587;20;2865;94
779;1;Турнейский пласт Т1;12;1986;660;21;3525;125
937;1;Тульский пласт Тл2а;1;1987;735;24;3798;203
